,year,country_name,country_code,value,data_source,yoy_growth,growth_category,cagr_3yr
0,2000,Afghanistan,AFG,0.0,Imputed,,,
1,2001,Afghanistan,AFG,0.00472257,Original,100.0,High Growth,
2,2002,Afghanistan,AFG,0.0045614,Original,-3.4127604249381105,Stable,
3,2003,Afghanistan,AFG,0.0878913,Original,200.0,High Growth,100.0
4,2004,Afghanistan,AFG,0.105809,Original,20.386204322839685,High Growth,100.0
5,2005,Afghanistan,AFG,1.22415,Original,200.0,High Growth,100.0
6,2006,Afghanistan,AFG,2.10712,Original,72.1292325286934,High Growth,100.0
7,2007,Afghanistan,AFG,1.9,Original,-9.829530354227579,Moderate Decline,100.0
8,2008,Afghanistan,AFG,1.84,Original,-3.157894736842093,Stable,14.549815852830017
9,2009,Afghanistan,AFG,3.55,Original,92.93478260869563,High Growth,18.990702334057154
10,2010,Afghanistan,AFG,4.0,Original,12.676056338028175,Moderate Growth,28.164809633939882
11,2011,Afghanistan,AFG,5.0,Original,25.0,High Growth,39.54600049991204
12,2012,Afghanistan,AFG,5.45455,Original,9.091000000000005,Moderate Growth,15.392307500515766
13,2013,Afghanistan,AFG,5.9,Original,8.166576527852886,Moderate Growth,13.831905748125251
14,2014,Afghanistan,AFG,7.0,Original,18.644067796610166,Moderate Growth,11.868894208139679
15,2015,Afghanistan,AFG,8.26,Original,17.999999999999993,Moderate Growth,14.834849808753315
16,2016,Afghanistan,AFG,11.0,Original,33.17191283292979,High Growth,23.077941647372224
17,2017,Afghanistan,AFG,13.5,Original,22.72727272727273,High Growth,24.473980004936525
18,2018,Afghanistan,AFG,16.8,Original,24.444444444444446,High Growth,26.699940656239217
19,2019,Afghanistan,AFG,17.6,Original,4.761904761904767,Stable,16.96070952851465
20,2020,Afghanistan,AFG,18.4,Original,4.545454545454519,Stable,10.873566589384387
21,2021,Afghanistan,AFG,16.442698851947398,Imputed,-10.637506239416306,Moderate Decline,-0.7140169168793786
22,2022,Afghanistan,AFG,17.419437769894785,Imputed,5.940259118908009,Moderate Growth,-0.34315009363459215
23,2023,Afghanistan,AFG,18.39617668784217,Imputed,5.60717820431289,Moderate Growth,-0.0069267699313257936
24,2000,Albania,ALB,0.114097,Original,,,
25,2001,Albania,ALB,0.325798,Original,185.54475577797837,High Growth,
26,2002,Albania,ALB,0.390081,Original,19.7309375748163,Moderate Growth,
27,2003,Albania,ALB,0.9719,Original,149.15338096446632,High Growth,100.0
28,2004,Albania,ALB,2.42039,Original,149.03693795657986,High Growth,95.12472859659403
29,2005,Albania,ALB,6.04389,Original,149.70727857907198,High Growth,100.0
30,2006,Albania,ALB,9.60999,Original,59.00339020068199,High Growth,100.0
31,2007,Albania,ALB,15.0361,Original,56.46322212614165,High Growth,83.83009789904389
32,2008,Albania,ALB,23.86,Original,58.68476533143567,High Growth,58.04640778938246
33,2009,Albania,ALB,41.2,Original,72.6739312657167,High Growth,62.45188689887129
34,2010,Albania,ALB,45.0,Original,9.223300970873783,Moderate Growth,44.10944185339516
35,2011,Albania,ALB,47.0,Original,4.444444444444451,Stable,25.35523427367279
36,2012,Albania,ALB,49.4,Original,5.106382978723412,Moderate Growth,6.237190648481139
37,2013,Albania,ALB,51.8,Original,4.858299595141702,Stable,4.802686470595496
38,2014,Albania,ALB,54.3,Original,4.826254826254828,Stable,4.930237830572848
39,2015,Albania,ALB,56.9,Original,4.7882136279926435,Stable,4.8242521018774465
40,2016,Albania,ALB,59.6,Original,4.7451669595782064,Stable,4.78653990214033
41,2017,Albania,ALB,62.4,Original,4.697986577181212,Stable,4.743782573447808
42,2018,Albania,ALB,65.4,Original,4.807692307692313,Stable,4.750272311540615
43,2019,Albania,ALB,68.5504,Original,4.817125382262977,Stable,4.774254130653177
44,2020,Albania,ALB,72.2377,Original,5.378962048361502,Moderate Growth,5.00092058808741
45,2021,Albania,ALB,79.3237,Original,9.809282410707976,Moderate Growth,6.645304439242561
46,2022,Albania,ALB,82.6137,Original,4.147562456113363,Stable,6.4177387994264645
47,2023,Albania,ALB,83.1356,Original,0.6317354143441145,Stable,4.795115793191873
48,2000,Algeria,DZA,0.491706,Original,,,
49,2001,Algeria,DZA,0.646114,Original,31.402504748772643,High Growth,
50,2002,Algeria,DZA,1.59164,Original,146.3404290883652,High Growth,
51,2003,Algeria,DZA,2.19536,Original,37.930687843984835,High Growth,64.66453790663003
52,2004,Algeria,DZA,4.63448,Original,111.10341811821294,High Growth,92.8548744768936
53,2005,Algeria,DZA,5.84394,Original,26.09699470059208,High Growth,54.27194955267347
54,2006,Algeria,DZA,7.37598,Original,26.215874906313207,High Growth,49.77454002258255
55,2007,Algeria,DZA,9.45119,Original,28.134702100602226,High Growth,26.812430753860706
56,2008,Algeria,DZA,10.18,Original,7.711304079168868,Moderate Growth,20.32263750694756
57,2009,Algeria,DZA,11.23,Original,10.314341846758367,Moderate Growth,15.041183769321975
58,2010,Algeria,DZA,12.5,Original,11.30899376669634,Moderate Growth,9.767685328976716
59,2011,Algeria,DZA,14.9,Original,19.199999999999996,Moderate Growth,13.539287219522311
60,2012,Algeria,DZA,18.2,Original,22.14765100671141,High Growth,17.461951144795783
61,2013,Algeria,DZA,22.5,Original,23.62637362637363,High Growth,21.644039911467992
62,2014,Algeria,DZA,29.5,Original,31.11111111111111,High Growth,25.567885936177802
63,2015,Algeria,DZA,38.2,Original,29.491525423728817,High Growth,28.03557561963266
64,2016,Algeria,DZA,42.9455,Original,12.422774869109944,Moderate Growth,24.04474817695825
65,2017,Algeria,DZA,47.6911,Original,11.050284663119525,Moderate Growth,17.364956248381503
66,2018,Algeria,DZA,49.0385,Original,2.8252650913902277,Stable,8.682079161092249
67,2019,Algeria,DZA,58.9776,Original,20.26795273101747,High Growth,11.15350044959098
68,2020,Algeria,DZA,60.6534,Original,2.841417758606646,Stable,8.34426733570044
